"id_item","quantidade","preco_unitario","subtotal","id_pedido","id_produto"
1,8,456.78,3654.24,5370,3485
2,8,82.56,660.48,8983,439
3,9,340.34,3063.06,560,6887
4,2,297.27,594.54,4876,7453
5,9,911.64,8204.76,3614,6436
6,10,82.57,825.7,7384,6886
7,3,826.59,2479.77,3720,806
8,10,742.76,7427.6,4043,6884
9,3,249.95,749.85,1276,1188
10,8,765.52,6124.16,4339,6427
11,3,266.81,800.43,5139,6106
12,9,400.31,3602.79,1421,2991
13,3,292.19,876.57,4469,280
14,7,852.15,5965.05,4614,3194
15,1,135.78,135.78,752,6695
16,9,631.58,5684.22,6570,8193
17,10,291.87,2918.7,4575,4620
18,6,774.45,4646.7,2902,3574
19,10,979.4,9794.0,8337,1213
20,8,142.43,1139.44,2847,1999
21,2,244.52,489.04,3874,1346
22,3,153.76,461.28,54,188
23,2,589.67,1179.34,7284,426
24,8,591.44,4731.52,9054,7422
25,10,373.75,3737.5,8657,7907
26,6,714.95,4289.7,4696,361
27,2,237.27,474.54,6404,7886
28,7,696.93,4878.51,5920,4125
29,3,554.49,1663.47,321,1708
30,4,563.16,2252.64,6975,4544
31,1,681.72,681.72,9393,812
32,3,282.97,848.91,4103,226
33,7,500.41,3502.87,8857,4654
34,3,520.95,1562.85,4221,2347
35,7,229.44,1606.08,9551,9436
36,8,397.17,3177.36,4351,8926
37,1,367.1,367.1,1481,5207
38,3,443.18,1329.54,5836,9815
39,6,636.04,3816.24,2518,844
40,4,957.42,3829.68,3910,4818
41,8,153.19,1225.52,9054,3735
42,2,20.44,40.88,6501,5957
43,8,265.84,2126.72,825,2269
44,6,670.45,4022.7,558,2709
45,9,838.48,7546.32,4691,248
46,10,240.55,2405.5,1748,9728
47,5,241.23,1206.15,1145,8038
48,1,578.12,578.12,9435,3924
49,3,32.11,96.33,4261,563
50,6,442.41,2654.46,3645,4763
51,4,873.39,3493.56,9163,8824
52,6,95.51,573.06,1079,6812
53,10,673.09,6730.9,1038,1219
54,9,209.6,1886.4,1044,8561
55,4,747.67,2990.68,8037,2544
56,7,104.68,732.76,5440,8082
57,3,179.1,537.3,2660,9101
58,10,583.5,5835.0,4736,8500
59,7,996.73,6977.11,6975,4924
60,4,538.52,2154.08,1463,1027
61,6,110.12,660.72,4438,3766
62,8,798.61,6388.88,8938,6167
63,3,162.29,486.87,6675,8809
64,1,255.82,255.82,6564,3427
65,7,324.29,2270.03,1023,6932
66,9,466.45,4198.05,8594,6971
67,4,788.81,3155.24,7474,5795
68,2,484.01,968.02,7455,8247
69,3,35.43,106.29,1427,9442
70,10,219.0,2190.0,4193,5882
71,7,190.25,1331.75,9297,584
72,4,791.26,3165.04,3221,6701
73,5,849.7,4248.5,4869,6160
74,3,892.0,2676.0,1520,3403
75,2,27.54,55.08,2358,2134
76,7,754.52,5281.64,7208,8837
77,5,956.52,4782.6,8932,7445
78,2,461.2,922.4,7481,2275
79,2,473.04,946.08,2358,1577
80,8,523.67,4189.36,765,5265
81,5,120.48,602.4,4114,9880
82,3,909.56,2728.68,4444,7353
83,8,756.25,6050.0,6282,9592
84,6,829.73,4978.38,1743,8865
85,6,152.44,914.64,1529,6659
86,8,813.13,6505.04,7570,5600
87,9,508.23,4574.07,9643,8745
88,10,361.37,3613.7,5719,3374
89,10,73.42,734.2,5993,4608
90,8,894.0,7152.0,9279,1527
91,10,629.22,6292.2,1162,9133
92,5,66.61,333.05,880,7922
93,2,490.16,980.32,5208,8211
94,10,280.89,2808.9,7538,7471
95,9,315.53,2839.77,9632,6427
96,1,721.21,721.21,565,9837
97,1,116.98,116.98,1013,4606
98,9,437.33,3935.97,2690,1178
99,10,971.33,9713.3,3301,39
100,8,651.93,5215.44,2318,6259
101,7,843.74,5906.18,847,73
102,3,817.02,2451.06,3937,6656
103,4,111.22,444.88,7018,4003
104,8,39.06,312.48,5900,8647
105,8,588.13,4705.04,6731,7732
106,1,800.9,800.9,8885,9678
107,6,933.82,5602.92,9981,3913
108,4,844.42,3377.68,9454,9056
109,4,35.16,140.64,4852,9586
110,5,286.57,1432.85,9691,6048
111,9,737.87,6640.83,8638,7131
112,6,606.52,3639.12,8118,2358
113,10,119.87,1198.7,3118,7040
114,6,900.93,5405.58,8504,9248
115,10,603.31,6033.1,1879,3997
116,6,674.45,4046.7,1590,6449
117,2,230.28,460.56,271,2512
118,5,882.88,4414.4,3000,6779
119,4,594.16,2376.64,9328,1214
120,7,645.38,4517.66,5218,81
121,2,91.82,183.64,253,1464
122,2,349.62,699.24,8629,6850
123,5,711.8,3559.0,302,7763
124,7,608.99,4262.93,3904,357
125,4,568.21,2272.84,2166,4512
126,2,782.97,1565.94,8320,5328
127,4,46.4,185.6,5392,9880
128,9,110.52,994.68,1941,586
129,10,951.31,9513.1,6885,3768
130,9,186.19,1675.71,1008,1585
131,10,750.95,7509.5,1845,5459
132,9,15.95,143.55,2787,4510
133,3,630.66,1891.98,2698,9075
134,10,734.88,7348.8,106,1782
135,4,203.97,815.88,6973,905
136,9,130.74,1176.66,1347,1112
137,7,834.96,5844.72,5225,3983
138,8,142.03,1136.24,5194,5525
139,10,951.18,9511.8,5079,394
140,9,953.57,8582.13,2711,5980
141,8,606.09,4848.72,9372,4758
142,2,684.33,1368.66,9690,5305
143,6,931.46,5588.76,7641,9951
144,2,708.12,1416.24,1978,5511
145,2,63.97,127.94,5347,9007
146,2,55.95,111.9,2469,8777
147,1,522.79,522.79,8551,9332
148,1,717.17,717.17,7975,4391
149,10,670.04,6700.4,6439,3386
150,9,969.94,8729.46,4892,2249
151,8,193.34,1546.72,3009,6524
152,5,283.55,1417.75,7595,8451
153,3,797.73,2393.19,1891,2525
154,7,758.59,5310.13,4351,2180
155,3,533.4,1600.2,376,4016
156,9,362.14,3259.26,6854,5855
157,2,609.26,1218.52,6187,7002
158,4,310.35,1241.4,654,2669
159,6,796.56,4779.36,4294,8637
160,10,613.66,6136.6,6464,2169
161,7,671.8,4702.6,3984,2232
162,7,695.7,4869.9,8480,4917
163,3,388.25,1164.75,1063,399
164,10,16.39,163.9,5952,7293
165,2,370.53,741.06,6813,944
166,10,99.05,990.5,1672,6475
167,7,900.34,6302.38,9323,7222
168,10,582.54,5825.4,9969,4350
169,6,785.15,4710.9,9282,7264
170,8,303.21,2425.68,3929,3056
171,8,604.73,4837.84,9524,6805
172,8,648.95,5191.6,867,8400
173,2,187.37,374.74,8215,9246
174,2,732.52,1465.04,3896,3798
175,10,334.4,3344.0,2148,1361
176,8,948.9,7591.2,9931,2961
177,10,78.32,783.2,7778,9567
178,6,757.71,4546.26,870,3085
179,7,75.54,528.78,4619,1317
180,5,883.82,4419.1,1741,914
181,1,496.29,496.29,2582,6910
182,5,536.05,2680.25,7010,4468
183,3,956.04,2868.12,8060,2515
184,5,842.26,4211.3,2540,1983
185,5,521.91,2609.55,2483,6004
186,1,941.13,941.13,1979,3958
187,2,633.91,1267.82,5631,9537
188,6,148.48,890.88,2188,9537
189,7,682.35,4776.45,1779,7880
190,2,706.87,1413.74,5394,8285
191,8,212.37,1698.96,4374,1438
192,3,537.82,1613.46,5510,2673
193,6,691.96,4151.76,5450,292
194,8,343.79,2750.32,2733,1375
195,9,985.04,8865.36,5751,5562
196,2,204.2,408.4,9448,2905
197,7,454.61,3182.27,4096,5709
198,1,926.15,926.15,1602,3360
199,8,566.11,4528.88,3777,4096
200,8,611.73,4893.84,5676,8809
201,3,84.51,253.53,2494,175
202,8,534.57,4276.56,9528,5291
203,10,129.56,1295.6,7581,9099
204,5,315.66,1578.3,209,9587
205,10,115.42,1154.2,3780,2237
206,4,917.69,3670.76,1639,1714
207,9,487.56,4388.04,2248,7179
208,9,260.88,2347.92,5072,3874
209,9,628.86,5659.74,6617,3381
210,3,179.47,538.41,2837,9761
211,2,358.95,717.9,3530,6957
212,7,541.2,3788.4,3947,5475
213,9,402.18,3619.62,884,2268
214,1,392.36,392.36,1408,3732
215,2,617.19,1234.38,5125,765
216,4,381.66,1526.64,9398,6810
217,2,106.87,213.74,5518,567
218,5,39.94,199.7,8465,5897
219,2,94.18,188.36,2873,3397
220,5,84.15,420.75,4210,6073
221,6,962.7,5776.2,8427,85
222,5,258.63,1293.15,8867,9388
223,8,580.17,4641.36,9384,400
224,4,218.24,872.96,8196,8112
225,9,672.12,6049.08,1227,830
226,4,879.46,3517.84,9114,6976
227,9,64.79,583.11,7362,7384
228,10,260.16,2601.6,1222,4517
229,5,39.95,199.75,4661,1366
230,5,163.45,817.25,9948,4855
231,1,876.27,876.27,3131,7489
232,9,62.59,563.31,2002,4619
233,10,421.79,4217.9,4090,229
234,3,102.42,307.26,1205,8049
235,3,400.85,1202.55,474,467
236,2,928.8,1857.6,1871,4395
237,1,230.67,230.67,6833,3401
238,2,443.16,886.32,6273,6278
239,3,424.82,1274.46,4900,2122
240,1,122.56,122.56,4818,359
241,2,980.97,1961.94,636,2049
242,8,739.78,5918.24,359,4334
243,7,550.36,3852.52,8784,372
244,5,391.44,1957.2,7854,9718
245,6,404.25,2425.5,6035,8670
246,5,720.95,3604.75,655,459
247,4,177.5,710.0,32,2489
248,8,830.16,6641.28,1303,2916
249,7,923.08,6461.56,318,5549
250,5,870.51,4352.55,9343,4500
251,10,521.13,5211.3,460,974
252,1,884.01,884.01,838,2812
253,9,256.79,2311.11,2172,2056
254,8,343.63,2749.04,1015,9579
255,7,93.3,653.1,3388,8408
256,4,202.1,808.4,5711,8193
257,9,508.85,4579.65,7278,1120
258,2,943.69,1887.38,8494,1609
259,5,466.37,2331.85,9783,3396
260,1,590.14,590.14,4646,529
261,3,622.02,1866.06,8388,6103
262,5,895.19,4475.95,4984,4015
263,10,963.0,9630.0,5726,4757
264,6,358.84,2153.04,4312,9455
265,6,181.78,1090.68,5078,4139
266,1,901.41,901.41,9056,2014
267,2,98.52,197.04,6023,2881
268,6,843.5,5061.0,8298,4609
269,6,144.95,869.7,9173,1688
270,7,231.64,1621.48,5865,8173
271,2,493.81,987.62,3924,5756
272,5,186.77,933.85,6797,2999
273,3,564.77,1694.31,7439,4030
274,10,740.91,7409.1,869,7282
275,3,822.55,2467.65,8675,3174
276,4,653.72,2614.88,3089,1114
277,7,333.7,2335.9,8524,4890
278,4,115.14,460.56,1497,5614
279,4,529.39,2117.56,8755,2393
280,3,259.42,778.26,1738,6817
281,3,341.77,1025.31,4874,8575
282,2,372.2,744.4,441,3301
283,2,93.53,187.06,8320,6048
284,4,80.33,321.32,4202,2615
285,4,472.17,1888.68,3902,8402
286,4,957.04,3828.16,4561,7025
287,6,752.28,4513.68,1391,9641
288,5,692.11,3460.55,392,1703
289,5,622.15,3110.75,3191,6076
290,6,456.24,2737.44,805,5137
291,2,920.98,1841.96,7810,1256
292,2,961.27,1922.54,9414,5043
293,6,914.58,5487.48,6939,4500
294,10,417.54,4175.4,2236,1258
295,8,115.79,926.32,6655,1688
296,7,777.96,5445.72,8320,8610
297,4,639.7,2558.8,9238,8527
298,9,400.57,3605.13,2282,4739
299,10,37.18,371.8,9781,1768
300,4,61.79,247.16,3516,8875
