"id_pagamento","data_pagamento","valor_pago","metodo_pagamento","id_pedido"
1,2022-03-14,855.67,PayPal,8476
2,2023-10-05,394.41,Pix,3354
3,2022-10-18,417.76,Cartão de Crédito,2548
4,2023-03-04,627.6,Cartão de Crédito,8064
5,2020-10-27,826.92,PayPal,2160
6,2021-06-23,468.71,Cartão de Crédito,9691
7,2022-01-09,341.99,Boleto,4657
8,2021-12-01,465.42,Boleto,7765
9,2022-10-02,150.83,Pix,9635
10,2020-08-24,169.69,Pix,4942
11,2022-04-18,871.55,Pix,3590
12,2021-01-14,593.68,Cartão de Crédito,2163
13,2021-04-22,276.08,Pix,5208
14,2020-11-23,719.59,Cartão de Crédito,1089
15,2022-01-24,539.88,PayPal,6308
16,2023-05-25,638.1,PayPal,7258
17,2021-01-07,754.83,Pix,7883
18,2023-12-31,358.02,Boleto,9470
19,2020-08-06,437.02,Boleto,8808
20,2020-08-25,460.68,Pix,6269
21,2020-12-08,962.3,PayPal,3666
22,2023-07-03,405.88,Cartão de Crédito,8131
23,2023-08-30,22.59,PayPal,9218
24,2020-04-25,70.03,Pix,5069
25,2022-12-05,218.07,Pix,8859
26,2022-04-15,436.74,Pix,6040
27,2022-11-30,866.27,Cartão de Crédito,1127
28,2020-10-17,385.9,Pix,7791
29,2021-11-02,811.32,PayPal,3912
30,2023-04-09,86.96,PayPal,3687
31,2022-01-19,858.06,Cartão de Crédito,3509
32,2021-05-08,44.53,PayPal,3743
33,2022-07-26,831.35,PayPal,2783
34,2020-12-29,875.78,Pix,3205
35,2021-09-15,84.03,Cartão de Crédito,2044
36,2022-09-10,435.57,Cartão de Crédito,1619
37,2023-04-08,18.45,Boleto,3861
38,2022-04-08,918.54,PayPal,449
39,2021-10-18,637.91,Pix,6090
40,2023-04-23,212.82,PayPal,3432
41,2020-09-11,376.75,Cartão de Crédito,3409
42,2020-12-08,502.58,Cartão de Crédito,8496
43,2020-08-06,122.69,Pix,9091
44,2021-02-09,412.46,PayPal,5155
45,2020-01-29,42.56,PayPal,9055
46,2022-10-23,973.17,Pix,6921
47,2021-11-08,541.32,Pix,9381
48,2021-12-12,468.77,Cartão de Crédito,3162
49,2023-06-07,715.02,Boleto,4916
50,2020-12-31,21.23,PayPal,5085
51,2022-05-18,244.33,PayPal,2656
52,2022-04-17,879.3,Boleto,9488
53,2023-09-05,246.94,Cartão de Crédito,4995
54,2020-08-11,89.53,Cartão de Crédito,4892
55,2020-05-06,104.73,PayPal,8087
56,2022-10-13,354.08,Cartão de Crédito,8378
57,2022-07-25,839.7,Boleto,9547
58,2023-12-22,975.21,PayPal,7642
59,2021-01-18,318.37,Cartão de Crédito,1874
60,2021-01-05,180.78,Pix,3683
61,2020-05-09,607.79,Boleto,4851
62,2021-06-09,515.17,Pix,4088
63,2021-11-20,735.53,Boleto,191
64,2022-03-03,923.24,PayPal,3640
65,2023-04-10,300.35,Boleto,6049
66,2020-12-29,811.1,PayPal,2720
67,2020-06-06,665.91,Boleto,5579
68,2021-11-01,353.46,Boleto,1006
69,2020-12-10,829.26,Boleto,987
70,2023-07-29,918.31,PayPal,2622
71,2020-02-07,578.28,Boleto,1018
72,2020-04-15,993.94,Boleto,3762
73,2023-09-13,799.98,Cartão de Crédito,5522
74,2022-06-28,186.64,Pix,6586
75,2020-04-07,651.42,Pix,8069
76,2020-08-03,689.63,Pix,6851
77,2023-04-28,404.49,Cartão de Crédito,1241
78,2022-04-16,624.56,Pix,7531
79,2023-06-24,941.56,Pix,5980
80,2023-05-04,56.77,PayPal,4098
81,2022-11-23,600.35,Boleto,2643
82,2021-06-30,405.35,PayPal,6938
83,2021-12-24,528.18,Cartão de Crédito,8159
84,2023-12-11,644.22,Pix,2997
85,2021-01-11,381.01,Boleto,836
86,2023-01-23,883.0,PayPal,6668
87,2020-02-18,561.16,Boleto,5278
88,2022-01-01,869.25,Pix,570
89,2023-10-22,862.89,PayPal,4830
90,2021-10-25,852.36,Pix,5789
91,2023-03-15,794.31,Boleto,2086
92,2021-08-06,788.41,Boleto,7426
93,2022-06-13,437.6,Cartão de Crédito,2260
94,2021-04-03,937.79,Pix,5861
95,2023-03-26,980.93,PayPal,5498
96,2020-05-10,315.28,Cartão de Crédito,5263
97,2020-05-23,973.78,Pix,6494
98,2020-10-30,75.28,Pix,708
99,2022-10-02,437.36,Cartão de Crédito,2898
100,2022-11-20,486.64,Cartão de Crédito,7556
101,2021-08-15,182.18,Boleto,5652
102,2021-04-07,989.87,PayPal,337
103,2020-07-20,72.67,Cartão de Crédito,5303
104,2021-10-12,323.51,PayPal,2652
105,2022-05-29,265.54,Pix,5912
106,2022-06-09,569.16,Pix,4479
107,2022-02-12,201.0,Boleto,5281
108,2023-11-01,401.04,Cartão de Crédito,4945
