"id_pedido","data_pedido","status","valor_total","id_cliente"
1,2021-03-15 00:00:00.000,Concluído,410.43,4182
2,2020-03-09 00:00:00.000,Concluído,620.29,8912
3,2021-07-25 00:00:00.000,Processando,539.70,8329
4,2021-05-14 00:00:00.000,Cancelado,15.18,6648
5,2021-03-11 00:00:00.000,Concluído,424.31,5163
6,2020-01-10 00:00:00.000,Cancelado,375.38,5546
7,2022-07-27 00:00:00.000,Concluído,795.05,2930
8,2022-09-02 00:00:00.000,Pendente,114.70,1822
9,2023-06-22 00:00:00.000,Cancelado,485.90,5075
10,2021-11-03 00:00:00.000,Concluído,98.19,5962
11,2020-04-16 00:00:00.000,Concluído,918.75,5491
12,2023-12-24 00:00:00.000,Pendente,326.71,1851
13,2023-10-01 00:00:00.000,Concluído,500.73,7041
14,2021-01-07 00:00:00.000,Pendente,332.56,5384
15,2020-09-29 00:00:00.000,Cancelado,474.74,5278
16,2022-02-13 00:00:00.000,Concluído,366.36,9472
17,2022-05-05 00:00:00.000,Cancelado,618.08,8819
18,2022-06-19 00:00:00.000,Cancelado,497.18,5555
19,2021-10-20 00:00:00.000,Cancelado,347.06,6832
20,2021-02-04 00:00:00.000,Pendente,742.55,4755
21,2022-07-30 00:00:00.000,Pendente,597.55,1568
22,2021-05-21 00:00:00.000,Cancelado,322.15,9646
23,2023-06-27 00:00:00.000,Processando,707.71,1938
24,2020-09-18 00:00:00.000,Processando,153.12,8043
25,2023-09-04 00:00:00.000,Cancelado,825.21,1754
26,2020-07-06 00:00:00.000,Cancelado,877.14,7436
27,2023-07-08 00:00:00.000,Concluído,589.73,3425
28,2020-02-19 00:00:00.000,Pendente,275.21,2859
29,2022-02-14 00:00:00.000,Pendente,614.81,7907
30,2021-07-08 00:00:00.000,Cancelado,710.07,635
31,2022-12-13 00:00:00.000,Concluído,874.95,9054
32,2021-02-22 00:00:00.000,Pendente,957.16,3395
33,2022-12-17 00:00:00.000,Cancelado,612.68,373
34,2022-10-20 00:00:00.000,Processando,816.10,5388
35,2021-02-11 00:00:00.000,Pendente,627.50,6996
36,2021-04-02 00:00:00.000,Processando,331.99,1177
37,2022-07-28 00:00:00.000,Cancelado,133.26,2556
38,2021-09-15 00:00:00.000,Processando,50.84,3827
