"id_produto","nome","descricao","preco","estoque","categoria"
1,Produto_5353,Descrição do Produto_5353,165.12,69,"3"
2,Produto_9741,Descrição do Produto_9741,703.03,49,"9"
3,Produto_8911,Descrição do Produto_8911,872.31,67,"1"
4,Produto_9825,Descrição do Produto_9825,835.54,89,"5"
5,Produto_2509,Descrição do Produto_2509,599.18,65,"3"
6,Produto_6634,Descrição do Produto_6634,209.98,17,"9"
7,Produto_938,Descrição do Produto_938,694.02,48,"9"
8,Produto_1635,Descrição do Produto_1635,198.57,24,"3"
9,Produto_4105,Descrição do Produto_4105,391.00,31,"1"
10,Produto_2586,Descrição do Produto_2586,137.77,84,"10"
11,Produto_7469,Descrição do Produto_7469,287.36,59,"10"
12,Produto_8955,Descrição do Produto_8955,104.57,43,"8"
13,Produto_7982,Descrição do Produto_7982,352.74,76,"2"
14,Produto_8967,Descrição do Produto_8967,335.91,25,"5"
15,Produto_7179,Descrição do Produto_7179,510.55,93,"3"
16,Produto_8395,Descrição do Produto_8395,396.20,8,"10"
17,Produto_618,Descrição do Produto_618,865.89,47,"7"
18,Produto_9773,Descrição do Produto_9773,542.63,42,"1"
19,Produto_9972,Descrição do Produto_9972,630.48,37,"6"
20,Produto_9853,Descrição do Produto_9853,776.35,95,"8"
21,Produto_978,Descrição do Produto_978,252.04,87,"5"
22,Produto_2492,Descrição do Produto_2492,521.98,96,"9"
23,Produto_3929,Descrição do Produto_3929,52.88,6,"3"
24,Produto_9153,Descrição do Produto_9153,693.92,82,"9"
25,Produto_8039,Descrição do Produto_8039,531.88,92,"2"
26,Produto_555,Descrição do Produto_555,802.22,35,"8"
27,Produto_6671,Descrição do Produto_6671,909.80,49,"3"
28,Produto_5128,Descrição do Produto_5128,959.19,50,"6"
29,Produto_9078,Descrição do Produto_9078,162.01,11,"1"
30,Produto_7440,Descrição do Produto_7440,544.03,51,"3"
31,Produto_7891,Descrição do Produto_7891,664.67,29,"2"
32,Produto_4848,Descrição do Produto_4848,346.81,49,"3"
33,Produto_8018,Descrição do Produto_8018,939.53,16,"10"
34,Produto_9693,Descrição do Produto_9693,785.10,99,"7"
